X,Y,ET_ID,ET_X,ET_Y,ET_ORDER,ET_IDP
306804.638500000350177,5447015.956299999729,1,306804.63850000000,5447015.95629999973,0.00000000000,1
306825.052299999631941,5447027.394799999893,1,306825.05229999998,5447027.39479999989,1.00000000000,1
306825.052299999631941,5447027.394799999893,2,306825.05229999998,5447027.39479999989,0.00000000000,2
306845.466,5447038.8332,2,306845.46600000001,5447038.83320000023,1.00000000000,2
306845.466,5447038.8332,3,306845.46600000001,5447038.83320000023,0.00000000000,3
306865.879800000227988,5447050.2717,3,306865.87980000000,5447050.27170000039,1.00000000000,3
306865.879800000227988,5447050.2717,4,306865.87980000000,5447050.27170000039,0.00000000000,4
306886.293600000441074,5447061.7101,4,306886.29359999998,5447061.71009999979,1.00000000000,4
306886.293600000441074,5447061.7101,5,306886.29359999998,5447061.71009999979,0.00000000000,5
306906.707299999892712,5447073.1486,5,306906.70730000001,5447073.14859999996,1.00000000000,5
306906.707299999892712,5447073.1486,6,306906.70730000001,5447073.14859999996,0.00000000000,6
306927.121100000105798,5447084.58699999936,6,306927.12109999999,5447084.58700000029,1.00000000000,6
306927.121100000105798,5447084.58699999936,7,306927.12109999999,5447084.58700000029,0.00000000000,7
306947.534799999557436,5447096.025499999523,7,306947.53480000002,5447096.02550000045,1.00000000000,7
306947.534799999557436,5447096.025499999523,8,306947.53480000002,5447096.02550000045,0.00000000000,8
306967.948599999770522,5447107.463899999857,8,306967.94860000000,5447107.46389999986,1.00000000000,8
306967.948599999770522,5447107.463899999857,9,306967.94860000000,5447107.46389999986,0.00000000000,9
306988.362399999984,5447118.9024,9,306988.36239999998,5447118.90240000002,1.00000000000,9
306988.362399999984,5447118.9024,10,306988.36239999998,5447118.90240000002,0.00000000000,10
307008.776100000366569,5447130.3409,10,307008.77610000002,5447130.34090000018,1.00000000000,10
307008.776100000366569,5447130.3409,11,307008.77610000002,5447130.34090000018,0.00000000000,11
307029.189899999648333,5447141.7793,11,307029.18990000000,5447141.77929999959,1.00000000000,11
307029.189899999648333,5447141.7793,12,307029.18990000000,5447141.77929999959,0.00000000000,12
307046.726300000213087,5447151.605499999598,12,307046.72629999998,5447151.60549999960,1.00000000000,12
307043.619,5447150.499299999326,12,307043.61900000001,5447150.49930000026,2.00000000000,12
307043.619,5447150.499299999326,13,307043.61900000001,5447150.49930000026,0.00000000000,13
307021.574300000444055,5447142.651499999687,13,307021.57429999998,5447142.65149999969,1.00000000000,13
307021.574300000444055,5447142.651499999687,14,307021.57429999998,5447142.65149999969,0.00000000000,14
306999.529500000178814,5447134.8037,14,306999.52950000000,5447134.80370000005,1.00000000000,14
306999.529500000178814,5447134.8037,15,306999.52950000000,5447134.80370000005,0.00000000000,15
306977.484699999914,5447126.9559,15,306977.48469999997,5447126.95590000041,1.00000000000,15
306977.484699999914,5447126.9559,16,306977.48469999997,5447126.95590000041,0.00000000000,16
306955.440000000409782,5447119.1081,16,306955.44000000000,5447119.10809999984,1.00000000000,16
306955.440000000409782,5447119.1081,17,306955.44000000000,5447119.10809999984,0.00000000000,17
306933.395200000144541,5447111.260299999267,17,306933.39520000003,5447111.26030000020,1.00000000000,17
306933.395200000144541,5447111.260299999267,18,306933.39520000003,5447111.26030000020,0.00000000000,18
306911.350399999879301,5447103.412499999627,18,306911.35040000000,5447103.41249999963,1.00000000000,18
306911.350399999879301,5447103.412499999627,19,306911.35040000000,5447103.41249999963,0.00000000000,19
306889.305700000375509,5447095.564699999988,19,306889.30570000003,5447095.56469999999,1.00000000000,19
306889.305700000375509,5447095.564699999988,20,306889.30570000003,5447095.56469999999,0.00000000000,20
306867.260900000110269,5447087.7169,20,306867.26089999999,5447087.71690000035,1.00000000000,20
306867.260900000110269,5447087.7169,21,306867.26089999999,5447087.71690000035,0.00000000000,21
306845.216099999845028,5447079.869,21,306845.21610000002,5447079.86899999995,1.00000000000,21
306845.216099999845028,5447079.869,22,306845.21610000002,5447079.86899999995,0.00000000000,22
306823.171299999579787,5447072.021199999377,22,306823.17129999999,5447072.02120000031,1.00000000000,22
306823.171299999579787,5447072.021199999377,23,306823.17129999999,5447072.02120000031,0.00000000000,23
306801.1266,5447064.173399999738,23,306801.12660000002,5447064.17339999974,1.00000000000,23
306801.1266,5447064.173399999738,24,306801.12660000002,5447064.17339999974,0.00000000000,24
306779.081799999810755,5447056.3256,24,306779.08179999999,5447056.32560000010,1.00000000000,24
306779.081799999810755,5447056.3256,25,306779.08179999999,5447056.32560000010,0.00000000000,25
306757.036999999545515,5447048.4778,25,306757.03700000001,5447048.47780000046,1.00000000000,25
306757.036999999545515,5447048.4778,26,306757.03700000001,5447048.47780000046,0.00000000000,26
306750.132399999536574,5447046.019799999893,26,306750.13240000000,5447046.01979999989,1.00000000000,26
306736.187,5447054.0073,26,306736.18699999998,5447054.00729999971,2.00000000000,26
306736.187,5447054.0073,27,306736.18699999998,5447054.00729999971,0.00000000000,27
306715.88190000038594,5447065.637499999255,27,306715.88189999998,5447065.63750000019,1.00000000000,27
306715.88190000038594,5447065.637499999255,28,306715.88189999998,5447065.63750000019,0.00000000000,28
306696.7401,5447076.601399999112,28,306696.74010000000,5447076.60140000004,1.00000000000,28
306697.9846,5447077.099899999797,28,306697.98460000003,5447077.09989999980,2.00000000000,28
306697.9846,5447077.099899999797,29,306697.98460000003,5447077.09989999980,0.00000000000,29
306719.706899999640882,5447085.800499999896,29,306719.70689999999,5447085.80049999990,1.00000000000,29
306719.706899999640882,5447085.800499999896,30,306719.70689999999,5447085.80049999990,0.00000000000,30
