X,Y,ET_ID,FID_JustSo,ET_X,ET_Y,ET_ORDER,ET_IDP
306627.347299999557436,5447207.240499999374,13,1,306627.34730000002,5447207.24050000031,1.00000000000,13
306627.347299999557436,5447207.240499999374,14,1,306627.34730000002,5447207.24050000031,0.00000000000,14
306622.182900000363588,5447210.85899999924,14,1,306622.18290000001,5447210.85900000017,1.00000000000,14
306619.712899999693036,5447213.606,14,1,306619.71289999998,5447213.60599999968,2.00000000000,14
306619.712899999693036,5447213.606,15,1,306619.71289999998,5447213.60599999968,0.00000000000,15
306613.026800000108778,5447221.04199999943,15,1,306613.02679999999,5447221.04200000037,1.00000000000,15
306613.026800000108778,5447221.04199999943,16,1,306613.02679999999,5447221.04200000037,0.00000000000,16
306608.468899999745,5447226.11099999957,16,1,306608.46889999998,5447226.11099999957,1.00000000000,16
306606.454199999570847,5447228.5755,16,1,306606.45419999998,5447228.57550000027,2.00000000000,16
306606.454199999570847,5447228.5755,17,1,306606.45419999998,5447228.57550000027,0.00000000000,17
306600.125199999660254,5447236.3178,17,1,306600.12520000001,5447236.31780000031,1.00000000000,17
306600.125199999660254,5447236.3178,18,1,306600.12520000001,5447236.31780000031,0.00000000000,18
306595.267599999905,5447242.260199999437,18,1,306595.26760000002,5447242.26020000037,1.00000000000,18
306593.403199999593198,5447243.6491,18,1,306593.40320000000,5447243.64910000004,2.00000000000,18
306593.403199999593198,5447243.6491,19,1,306593.40320000000,5447243.64910000004,0.00000000000,19
306585.383899999782443,5447249.623199999332,19,1,306585.38390000002,5447249.62320000026,1.00000000000,19
306585.383899999782443,5447249.623199999332,20,1,306585.38390000002,5447249.62320000026,0.00000000000,20
306577.364599999972,5447255.5974,20,1,306577.36459999997,5447255.59740000032,1.00000000000,20
306577.364599999972,5447255.5974,21,1,306577.36459999997,5447255.59740000032,0.00000000000,21
306576.1705,5447256.486899999902,21,1,306576.17050000001,5447256.48689999990,1.00000000000,21
306569.237300000153482,5447261.423299999908,21,1,306569.23729999998,5447261.42329999991,2.00000000000,21
306569.237300000153482,5447261.423299999908,22,1,306569.23729999998,5447261.42329999991,0.00000000000,22
306561.091199999675155,5447267.2234,22,1,306561.09120000002,5447267.22339999955,1.00000000000,22
306561.091199999675155,5447267.2234,23,1,306561.09120000002,5447267.22339999955,0.00000000000,23
306560.149500000290573,5447267.893899999559,23,1,306560.14950000000,5447267.89389999956,1.00000000000,23
306553.074300000444055,5447273.2003,23,1,306553.07429999998,5447273.20029999968,2.00000000000,23
306553.074300000444055,5447273.2003,24,1,306553.07429999998,5447273.20029999968,0.00000000000,24
306545.794599999673665,5447278.66,24,1,306545.79460000002,5447278.66000000015,1.00000000000,24
306545.151399999856949,5447279.2901,24,1,306545.15139999997,5447279.29009999987,2.00000000000,24
306545.151399999856949,5447279.2901,25,1,306545.15139999997,5447279.29009999987,0.00000000000,25
306538.007399999536574,5447286.287499999627,25,1,306538.00740000000,5447286.28749999963,1.00000000000,25
306538.007399999536574,5447286.287499999627,26,1,306538.00740000000,5447286.28749999963,0.00000000000,26
306530.863499999978,5447293.2849,26,1,306530.86349999998,5447293.28490000032,1.00000000000,26
306530.863499999978,5447293.2849,27,1,306530.86349999998,5447293.28490000032,0.00000000000,27
306523.719499999657273,5447300.282299999148,27,1,306523.71950000001,5447300.28230000008,1.00000000000,27
